Date,Open,High,Low,Close,Adj Close,Volume
1997-06-01,13.060000,13.880000,12.970000,13.670000,8.492424,0
1997-07-01,13.760000,14.750000,13.760000,14.750000,9.163366,0
1997-08-01,14.640000,14.840000,13.920000,13.920000,8.647735,0
1997-09-01,14.350000,14.800000,14.130000,14.680000,9.119882,0
1997-10-01,14.810000,15.240000,13.610000,14.190000,8.815472,0
1997-11-01,14.570000,14.960000,14.070000,14.840000,9.219281,0
1997-12-01,15.140000,15.290000,14.420000,14.950000,9.287616,0
1998-01-01,15.020000,15.190000,14.290000,15.110000,9.480515,0
1998-02-01,15.430000,16.200001,15.430000,16.200001,10.164419,0
1998-03-01,16.170000,17.080000,15.980000,17.020000,10.678913,0
1998-04-01,17.120001,17.469999,16.770000,17.190001,10.785575,0
1998-05-01,17.330000,17.350000,16.889999,16.889999,10.597344,0
1998-06-01,16.900000,17.650000,16.690001,17.570000,11.023999,0
1998-07-01,17.799999,18.400000,17.379999,17.379999,10.904789,0
1998-08-01,17.260000,17.260000,14.870000,14.870000,9.329931,0
1998-09-01,15.450000,16.580000,15.130000,15.820000,9.925994,0
1998-10-01,15.340000,17.090000,14.930000,17.090000,10.722833,0
1998-11-01,17.299999,18.570000,17.219999,18.129999,11.375363,0
1998-12-01,18.309999,19.180000,17.790001,18.990000,11.914955,0
1999-01-01,18.969999,19.780001,18.730000,19.780001,12.531170,0
1999-02-01,19.680000,19.680000,18.799999,19.160000,12.138385,0
1999-03-01,19.129999,20.389999,18.959999,19.920000,12.619868,0
1999-04-01,20.040001,21.110001,19.980000,20.690001,13.107683,0
1999-05-01,20.990000,21.209999,19.879999,20.200001,12.797253,0
1999-06-01,20.080000,21.309999,20.080000,21.309999,13.500469,0
1999-07-01,21.440001,22.040001,20.639999,20.639999,13.076007,0
1999-08-01,20.629999,21.490000,19.920000,20.540001,13.012650,0
1999-09-01,20.709999,21.120001,19.750000,19.969999,12.651544,0
1999-10-01,19.969999,21.230000,19.430000,21.230000,13.449786,0
1999-11-01,21.090000,22.219999,21.000000,21.660000,13.722204,0
1999-12-01,21.799999,22.650000,21.799999,22.650000,14.349391,0
2000-01-01,22.430000,22.590000,20.980000,21.510000,13.799826,0
2000-02-01,21.740000,22.240000,20.590000,21.100000,13.536790,0
2000-03-01,21.299999,23.600000,20.940001,23.160000,14.858392,0
2000-04-01,23.270000,23.440001,20.969999,22.459999,14.409305,0
2000-05-01,22.700001,22.700001,21.260000,21.990000,14.107777,0
2000-06-01,22.430000,23.010000,22.320000,22.530001,14.454214,0
2000-07-01,22.760000,23.410000,22.010000,22.180000,14.229671,0
2000-08-01,22.299999,23.559999,22.299999,23.559999,15.115013,0
2000-09-01,23.600000,23.600000,22.150000,22.309999,14.313076,0
2000-10-01,22.299999,22.309999,20.660000,22.209999,14.248914,0
2000-11-01,22.090000,22.260000,20.459999,20.459999,13.126196,0
2000-12-01,20.469999,21.480000,19.510000,20.370001,13.068456,0
2001-01-01,19.799999,21.200001,19.799999,21.080000,13.656075,0
2001-02-01,21.200001,21.200001,19.160000,19.160000,12.412256,0
2001-03-01,19.180000,19.549999,17.280001,17.950001,11.628392,0
2001-04-01,17.719999,19.400000,17.070000,19.340000,12.528864,0
2001-05-01,19.600000,20.340000,19.290001,19.459999,12.606602,0
2001-06-01,19.540001,19.889999,18.740000,18.990000,12.302127,0
2001-07-01,19.180000,19.180000,18.180000,18.799999,12.179041,0
2001-08-01,18.870001,18.950001,17.549999,17.620001,11.414614,0
2001-09-01,17.610001,17.610001,15.020000,16.200001,10.494707,0
2001-10-01,16.160000,17.190001,16.160000,16.500000,10.689052,0
2001-11-01,16.879999,18.040001,16.879999,17.760000,11.505305,0
2001-12-01,17.610001,18.250000,17.320000,17.709999,11.472915,0
2002-01-01,17.809999,18.090000,16.990000,17.450001,11.436799,0
2002-02-01,17.330000,17.330000,16.680000,17.110001,11.213964,0
2002-03-01,17.500000,18.100000,17.500000,17.750000,11.633419,0
2002-04-01,17.740000,17.740000,16.500000,16.670000,10.925584,0
2002-05-01,16.820000,17.160000,16.250000,16.549999,10.846935,0
2002-06-01,16.139999,16.290001,15.150000,15.370000,10.073560,0
2002-07-01,15.040000,15.360000,12.400000,14.170000,9.287074,0
2002-08-01,13.760000,14.990000,12.980000,14.270000,9.352614,0
2002-09-01,13.670000,14.170000,12.710000,12.710000,8.330184,0
2002-10-01,13.220000,14.040000,12.120000,13.830000,9.064234,0
2002-11-01,14.070000,14.680000,13.690000,14.680000,9.621328,0
